Segment ID,Source Segment,MT Target Segment,Segment Origin,Comment,Number of Words (Source Segment),Number of Words (Target Segment),Fluency,Fluency Score,Adequacy,Adequacy Score
1,[HEADLINE] El CIS otorga a Susana Díaz una amplia mayoría en las elecciones andaluzas,CIS는 Susana Díaz에게 안달루시아 선거에서 대다수를 준다.,El País,,14,7,Disfluent,2,Little,2
2,[SUB-HEADLINE] La encuesta sitúa a la coalición de Podemos e IU en segundo lugar y anticipa un empate técnico entre PP y Ciudadanos,이 설문 조사는 Podemos와 IU의 연합을 두 번째 장소에두고 PP와 Citizens 사이의 기술적 인 관계를 예상합니다,El País,,23,16,Incomprehensible,1,None,1
3,"La presidenta de la Junta de Andalucía, Susana Díaz, ganaría las próximas elecciones autonómicas con más de 10 puntos de ventaja, pero lejos de la mayoría absoluta (55 escaños de un total de 109), según la encuesta hecha pública este miércoles por el Centro de Investigaciones Sociológicas (CIS). ","유다 데 안달루시아 (Susana Díaz) 의장은 다음 주 지방 선거에서 10 점 이상의 우위를 점할 것으로 예상했지만, 이번 수요일에 센터에 의해 공개 된 설문 조사에 따르면, 절대 다수 (109 개 가운데 55 석) 사회학 연구 (CIS).",El País,,47,36,Incomprehensible,1,None,1
4,"La candidata socialista obtendría el 37,41% de los votos y entre 45 y 47 escaños. ",사회당 후보는 37.41 %의 표와 45 ~ 47 표의 표를 얻는다. ,El País,,15,11,Disfluent,2,Little,2
5,Esta última cifra coincide con el número de diputados que el PSOE tiene en la actualidad. ,이 마지막 숫자는 PSOE가 현재 보유한 대리인의 숫자와 일치합니다. ,El País,,16,9,Good,3,Little,2
6,"Con estos resultados, y si no hubiera bloqueos, Díaz podría aspirar a desarrollar lo que ella ha denominado ""gobierno de banda ancha"", que le permitiría dirigir la Junta en minoría con apoyos puntuales de distintas fuerzas políticas.","이러한 결과와 함께 장애가없는 경우 Díaz는 그녀가 ""광대역 정부""라고 부른 것을 발전 시켜서 그녀가 다른 정치 세력으로부터 특별한 지원을받는 소수 민족위원회를 이끌 수있게 할 수있었습니다.",El País,,37,25,Disfluent,2,None,1
7,"La batalla se juega en el terreno del segundo puesto, donde las tres formaciones principales, PP, Adelante Andalucía —la confluencia entre Podemos e IU— y Ciudadanos llegan muy igualadas, según el sondeo. ","이 전투는 2 위의 지형에서 진행되는데 PP, Adelante Andalucía (Podemos와 IU- 시민들의 합류는 매우 평평하다.",El País,,32,15,Incomprehensible,1,Little,2
8,"En cuanto a porcentaje de sufragios, la coalición de izquierdas liderada por Teresa Rodríguez se situaría en segunda posición, con un 19,34%;",투표율에 대해서는 테레사 로드리게스 (Teresa Rodríguez)가 이끄는 좌파 연합이 19.34 %로 2 위에 올랐다.,El País,,22,14,Good,3,Most,3
9,"pero mantendría 20 escaños, la cifra que actualmente suman los diputados de ambas formaciones en el Parlamento (15 Podemos y 5 IU).",그러나 의회의 두 대의 대의원이 현재 추가로 (15 개의 Podemos와 5 개의 IU) 추가하는 20 석을 유지할 것입니다.,El País,,22,18,Incomprehensible,1,Little,2
10,"Quienes mantienen un empate técnico son PP y Ciudadanos, los primeros con un 18,66% de voto y el segundo con un 18,55%, que se traduce en idéntico número de representantes en el Parlamento andaluz: una horquilla que va de los 20 a los 22.","기술적 인 관계를 유지하는 사람들은 PP와 시민이며, 18.66 %의 투표권을 가진 첫 번째 사람과 18.55 %의 사람인 두 번째 사람은 안달루시아 의회 의원과 같은 수의 사람으로 번역됩니다. 머리말은 20 22시에",El País,,44,30,Incomprehensible,1,None,1
11,"La principal novedad es la irrupción de VOX, que con un 3,17% de los votos, obtendría por primera vez representación en España, con un escaño en el Parlamento andaluz por la provincia de Almería. ",가장 주목할만한 사실은 투표의 3.17 %로 알 메리아 지방에 대한 안달루시아 의회 (Andalusian Parliament) 의석을 보유한 스페인 최초의 대표권을 얻게 될 복스 (VOX)의 침범이다.,El País,,34,24,Good,3,Most,3
12,"En los anteriores comicios autonómicos, el partido de extrema derecha quedó en novena posición, por detrás de UPyD, que vuelve a presentarse en estas elecciones en todas las provincias, el ahora disuelto Partido Andalucista y PACMA, que también tiene candidaturas en todas las circunscripciones.","이전의 지방 선거에서 맨 오른쪽 파티는 UPyD 뒤에서 9 번째 위치에 있었고, 모든 주에서 선거로 돌아 왔고, 지금은 해체 된 Andalusian Party와 PACMA도 모든 선거구에서 후보가되었습니다.",El País,,44,26,Incomprehensible,1,Little,2
13,"La encuesta del CIS no ha despejado las dudas sobre quién ostentará el cetro de la derecha en Andalucía, si Ciudadanos o PP. ",CIS에 대한 조사는 시민이나 PP 여부에 관계없이 안달루시아에서 누가 권리를 보유 할 것인가에 대한 의구심을 해소하지 못했다. ,El País,,23,17,Disfluent,2,Most,3
14,"Si bien Ciudadanos no acaba de dar su anhelado sorpasso, los datos del sondeo evidencian un avance muy significativo en relación con los resultados de las autonómicas de 2015, donde obtuvieron nueve escaños. ",시민들이 열광한 sorpasso를 제공하는 것만은 아니지만 설문 조사 데이터는 2015 년 자치 결과 9 개를 차지한 결과와 관련하여 매우 중요한 진전을 보였습니다. ,El País,,33,22,Incomprehensible,1,Little,2
15,"El partido de Albert Rivera obtendría representación en todas las provincias, con un avance muy significativo en Cádiz, donde pasaría de 1 a 3 o 4. ",앨버트 리베라 (Albert Rivera)의 당은 카디스에서 매우 중요한 진보와 함께 모든 지역에서 대표권을 얻었으며 카디스는 1에서 3 또는 4로 넘어갔습니다.,El País,,26,20,Disfluent,2,Most,3
16,"La lectura para el PP no es tan positiva ya que, de confirmarse la proyección del estudio preelectoral, el 2 de diciembre supondría una bajada de entre 13 y 11 diputados, un desplome del que se benefician Ciudadanos y Vox. ",예비 선거 연구 계획이 확정되면 12 월 2 일에 시민과 복스에게 혜택을주는 붕괴가 13 명에서 11 명으로 감소 할 것이기 때문에 PP에 대한 독서가 그렇게 긍정적이지는 않습니다.,El País,,40,27,Incomprehensible,1,Little,2
17,Los populares pierden escaños en las ocho circunscripciones.,인기는 8 개 지구의 좌석을 잃어 버린다.,El País,,8,7,Incomprehensible,1,Most,3
18,"La coalición de Adelante Andalucía se coloca como segunda fuerza política en porcentaje de voto, pero, sin llegar repetir la mala experiencia de la confluencia entre Podemos e IU a nivel nacional, en Andalucía ambas formaciones juntas no suman más que por separado y, de acuerdo con el CIS, mantendrían los 20 escaños que ya tienen en la actualidad, por lo que no sacarían rédito por el flanco de la izquierda del desgaste del PSOE.","Adelante Andalucía 연합은 투표의 비율로 두 번째 정치 세력으로 배치되지만 안달루시아에서 Podemos와 IU 간의 합류에 대한 나쁜 경험을 되풀이하지 않고 두 가지 형성은 함께 개별적으로 추가하지 않으며 CIS와 함께, 그들은 이미 가지고있는 20 석을 유지할 것이므로 PSOE 착용의 왼쪽 측면에 대해 돈을받지 않을 것입니다.",El País,,75,44,Incomprehensible,1,Most,3
19,"Ni la última legislatura ni los casi 40 años de Gobiernos socialistas continuados parecen haber horadado las expectativas electorales del PSOE de cara a la cita electoral del 2 de diciembre, justo lo contrario que le ocurre al PP. ",마지막 입법부와 거의 40 년 동안 지속 된 사회주의 정부 모두 12 월 2 일 선거를 앞두고 PS에 대한 선거 기대를 뚫지 못했다. ,El País,,39,23,Disfluent,2,Little,2
20,"Díaz, no obstante, debería obtener el respaldo de Adelante Andalucía o de Ciudadanos para repetir mandato. ",그러나 디아즈는 아 델란 테 안달루시아 (Adelante Andalucía) 또는 시우 다다 노 (Ciudadanos)의 지원을 받아 위임을 반복해야한다. ,El País,,16,17,Flawless,4,Everything,4
21,"Hasta ahora, los de Rivera se han mantenido firmes en su intención de no volver a apoyar bajo ningún concepto a la dirigente socialista. ",지금까지 리베라는 어떤 식 으로든 사회주의 지도자를지지하지 않을 것이라는 확고한 견해를 유지해 왔습니다.,El País,,24,13,Flawless,4,Everything,4
22,"Desde la coalición de izquierdas también son claros en que no permitirán un Ejecutivo de derechas ante un eventual pacto PP y Ciudadanos, y mantienen el discurso beligerante contra el “régimen del PSOE y el susanismo”. ","좌파 연립 정부로부터 그들은 최종 PP와 시민 협정 전에 권리 집행을 허용하지 않으며 ""PSOE 정권과 수사 니즘""에 대한 호전적인 담론을 유지할 것임을 분명히했다.",El País,,36,23,Incomprehensible,1,Most,3
23,"De acabar segundos el 2 de diciembre, serán determinantes para la elección de la presidenta.",12 월 2 일에 두 번째를 마치면 대통령 선거에 결정적인 역할을 할 것입니다.,El País,,15,13,Incomprehensible,1,Everything,4
24,"[MINI-TITLE] Un 58,4% quiere un cambio de Gobierno",58.4 % 정부 변화를 원한다.,El País,,8,5,Good,3,Everything,4
25,"Pese a que el PSOE volvería a ganar las elecciones, la valoración de los votantes respecto de la gestión de los socialistas en esta última legislatura es mayoritariamente regular (39,8%), mala (27,9%) o muy mala (15,2%). ","PSOE가 다시 선거에서 승리 할지라도,이 마지막 기간에 사회 주의자들의 관리에 관한 유권자 평가는 대부분 규칙적 (39.8 %), 나쁜 (27.9 %) 또는 매우 나쁘다 (15, 2 %).",El País,,36,26,Disfluent,2,Everything,4
26,"Poco más de la mitad de los andaluces, 58,4%, cree que sería bueno un cambio de Gobierno en la comunidad, después de casi cuatro décadas con el PSOE al mando. ",안달루시아 인 중 절반 이상 (58.4 %)은 PSOE를 담당 한 거의 40 년 후 공동체에서 정부의 변화가 좋을 것이라고 생각한다.,El País,,30,20,Disfluent,2,Everything,4
27,Un 26% de los encuestados no tiene decidido aún a quién votará.,응답자의 26 %는 투표 대상자를 아직 결정하지 않았습니다.,El País,,12,8,Good,3,Everything,4
28,La campaña andaluza arrancará el viernes 16 de noviembre a las 00.00 con la encuesta preelectoral como telón de fondo y se antoja determinante para disipar las dudas que arroja el CIS. ,안달루시안 캠페인은 11 월 16 일 금요일 00:00에 예비 선거 조사를 배경으로 시작되며 CIS가 제기 한 의구심을 없애는 결정적인 요인으로 보인다. ,El País,,32,21,Flawless,4,Everything,4
29,"Para los partidos estas elecciones son la antesala de lo que puede suceder en las próximas citas con las urnas (municipales, autonómicas, europeas e incluso generales). ","당사자들에게이 선거는 여론 조사 (시, 지역, 유럽 및 심지어 일반)에서 예정된 약속에서 일어날 수있는 일의 서곡입니다. ",El País,,26,16,Disfluent,2,Most,3
30,"Los líderes nacionales, incluido el de Vox, van a volcarse de lleno para arañar unos resultados que permitan mantener sus expectativas. ",Vox를 포함한 전국 지도자들은 자신들이 기대치를 유지할 수 있도록 결과를 뒤집기 위해 전복하려고합니다. ,El País,,21,13,Disfluent,2,Most,3
31,"Para cuatro de cada 10 encuestados, los máximos responsables de los partidos influyen bastante a la hora de votar. ",응답자 10 명 중 4 명에 대해서는 당사자 대표가 투표 할 때 큰 영향력을 행사합니다. ,El País,,19,15,Disfluent,2,Everything,4
32,"En estas últimas semanas y pese al interés de Díaz de que solo se hable de los problemas andaluces, todos han querido introducir los asuntos de la actualidad política en clave nacional.",지난 몇 주간 그리고 디아즈가 안달루시아 문제에 대해서만 이야기하는 것에 관심을 갖고 있음에도 불구하고 모든 사람들은 정치적 시사 문제를 국가 핵심 용어로 소개하기를 원했습니다. ,El País,,32,24,Good,3,Most,3
33,"Sin embargo, para el 56,4% de los electores de la comunidad, lo más importante a la hora de elegir la papeleta serán los temas propios de Andalucía.",그러나 지역 사회 유권자의 56.4 %가 안달루시아의 대상이 될 것입니다.,El País,,27,10,Disfluent,2,Little,2
34,"Respecto de los líderes políticos, la candidata socialista y presidenta de la Junta, Susana Díaz, es la más conocida y la más valorada con una nota de un 4,1. ","정치 지도자들에 관해서, 사회주의 후보자이자 이사회 의장 인 Susana Díaz는 4.1 등급으로 가장 잘 알려져 있고 가장 가치가 있습니다. ",El País,,29,19,Good,3,Everything,4
35,El resto de los aspirantes a dirigir la comunidad también suspenden. ,공동체를 이끌어 나갈 다른 유망주들도 일시 중지합니다. ,El País,,11,7,Incomprehensible,1,Little,2
36,"El líder regional de Ciudadanos, Juan Marín, y el coordinador general de IU en Andalucía y número dos de Adelante Andalucía, Antonio Maíllo, obtienen una calificación de 3,5, seguidos de la cabeza de lista por la confluencia de izquierdas, Teresa Rodríguez, con un 3,4, y el candidato popular, Juan Manuel Moreno, 3,1. ","후안 마린과 안달루시아 IU 총지배인 인 아델란테 안달루시아 (Andelucía), 안토니오 메이 올로 (Antonio Maíllo)의 지역 지도자는 3.5 점을 얻었고 왼쪽의 합류점 인 테레사 로드리게스 (Teresa Rodríguez) 3.4, 인기 후보 인 후안 마누엘 모레노 (3.1).",El País,,52,34,Disfluent,2,Most,3
37,"Cuatro años después de su aparición en la política andaluza, Marín continúa siendo el político menos conocido.",안달루시안 정치에 출마 한 지 4 년 후 마린은 계속 정치인으로 알려지지 않았다.,El País,,17,13,Disfluent,2,Most,3
38,El Parlamento andaluz está compuesto actualmente por 109 diputados repartidos entre los cinco grupos parlamentarios que lograron representación en las elecciones de 2015. ,안달루시안 의회는 현재 2015 년 선거에서 대의원을 얻은 5 명의 의원들로 구성된 109 명의 의원들로 구성됩니다.,El País,,23,16,Disfluent,2,Little,2
39,El PSOE logró 47 diputados;,PSOE는 47 명의 대리인을 확보했습니다.,El País,,5,5,Good,3,Everything,4
40,le sigue el PP que consiguió 33. ,그 다음에는 33 점을 얻은 PP가 나옵니다.,El País,,7,7,Good,3,Everything,4
41,"Podemos obtuvo 15 diputados, mientras Ciudadanos e IU obtuvieron nueve y cinco respectivamente. ",Ciudadanos와 IU가 각각 9 점과 5 점을 얻은 동안 우리는 15 명의 대리인을 얻을 수 있습니다.,El País,,13,16,Flawless,4,Little,2
42,La campaña electoral finalizará el viernes 30 de noviembre. ,선거 운동은 11 월 30 일 금요일에 끝납니다.,El País,,9,8,Flawless,4,Everything,4
43,"La sesión constitutiva del Parlamento, tras los comicios, tendrá lugar el 27 de diciembre.",선거 이후 의회의 구성 회의는 12 월 27 일에 열릴 예정이다.,El País,,14,11,Flawless,4,Everything,4
44,[HEADLINE] Londres elige entre vasallaje o caos,런던은 계략 또는 혼돈 중 하나를 선택합니다.,El País,,7,7,Flawless,4,Most,3
45,"[SUB-HEADLINE]  Ante la incapacidad de May de gestionar el Brexit, el intento de organizar otro referéndum es solo la vía de eludir la elección entre lo malo y lo peor",5 월에 Brexit을 관리 할 수 없다는 점을 감안할 때 다른 국민 투표를 조직하려는 시도는 악과 최악의 선택을 피하는 유일한 방법 일뿐입니다,El País,,31,22,Good,3,Most,3
46,"Dos años después de que los ingleses decidieran recuperar su soberanía —¿la habían perdido?—, disponen de solo cuatro meses y medio para elegir entre el vasallaje o el caos. ",영국군이 주권을 되찾기로 결정한 지 2 년 후 - 그들은 그것을 잃었을 까? - 그들은 단지 4 개월 반 밖에 걸리지 않았기 때문에 계략이나 혼란 중에서 선택했다. ,El País,,29,27,Disfluent,2,Little,2
47,"Es la alternativa a la que les ha llevado Theresa May, que acaba de sumar la octava dimisión en su Gobierno por la errática negociación sobre el Brexit. ",테레사 수녀가 취한 대안은 브리태츠 정부의 불협화음에 대한 8 번째 사임을 방금 추가 한 것입니다. ,El País,,28,15,Incomprehensible,1,Little,2
48,"La situación, sin embargo, puede empeorar porque eso es exactamente lo que ha ocurrido desde que los británicos votaron por salir de la UE. ",그러나 영국이 유럽 연합 (EU)을 떠난 지 투표 한 이후 발생한 상황이기 때문에 상황이 악화 될 수도있다. ,El País,,24,17,Disfluent,2,Little,2
49,"El listado de malas noticias, en efecto, es interminable: ",사실 나쁜 소식 목록은 끝이 없습니다.,El País,,9,6,Good,3,Everything,4
50,"desde la profunda división del país en dos bloques al bandazo del Brexit duro al blando y la inestabilidad política, pasando por la voladura de las líneas rojas exhibidas por Londres frente a Bruselas o la incertidumbre, letal para la economía. ",브뤼셀 앞에서 런던이 전시 한 빨간 선이 폭발하거나 경제에 치명적인 불확실성으로 인해 브리짓이 강경 한 브리짓 (Br Brexit)이 부드럽고 정치적으로 불안정한 상태에 이르기까지 두 블록에 걸친 국가의 깊은 분파에서 일어났습니다.,El País,,41,30,Incomprehensible,1,Little,2
51,"Así, la libra ya ha perdido el 12% de su valor y Reino Unido será el país europeo que menos crezca en 2019 y 2020. ",따라서 파운드는 이미 가치의 12 %를 잃었으며 영국은 2019 년과 2020 년에 성장하지 않는 유럽 국가가 될 것입니다. ,El País,,25,18,Flawless,4,Most,3
52,"La última pésima noticia ha sido la dimisión, el viernes pasado, del ministro de Transportes, Jo Johnson, autor de esa diatriba entre vasallaje y caos, es decir, entre el sometimiento a las reglas del mercado único sin voz ni voto de Londres (la oferta de May rechazada por todos) o la desastrosa salida sin acuerdo el 29 de marzo. ","최악의 소식은 지난 금요일, 교통 장관, 조 존슨 (Jo Johnson)의 사퇴, 즉 매매와 혼돈 사이의 비난 즉, 목소리 나 런던의 투표가없는 단일 시장의 규칙에 대한 제출 사이다. 3 월 29 일에 합의없이 모든 사람이 거부 할 수 있음) 또는 비참한 출발.",El País,,59,41,Incomprehensible,1,Little,2
53,"Hermano del también dimisionario Boris y político de gran prestigio y popularidad, Jo Johnson, que votó contra el Brexit, era el encargado de pactar el estratégico acuerdo sobre Transportes, un sector clave para las futuras relaciones del Reino Unido con la UE. ",부시 대통령과 블레치 총리에게 투표 한 조 존슨 (Jo Johnson) 대통령은 보리스 (Boris)를 사임하고 영국과 EU의 미래 관계를위한 핵심 분야 인 교통에 관한 전략적 협상을 담당했다.,El País,,42,26,Flawless,4,Little,2
54,"Su renuncia echa gasolina al incendio declarado en algunas aerolíneas que, alarmadas por el desastre, tratan como apestados a sus accionistas británicos y les amenazan con eliminar sus derechos de voto para demostrar a Bruselas una mayoría de propiedad comunitaria y operar así sin problemas en toda la UE. ",그들의 사임은 재난으로 경계를당한 일부 항공사들에 의해 선언 된 화재에 휘발유를 붓고 그들의 영국 주주들을 괴롭 히고 브뤼셀에 대다수의 공동체 재산을 보여주고 투표권을 없애겠다고 위협했다. EU,El País,,49,26,Disfluent,2,Little,2
55,"Las llamas se observan también en Getlink, gestora del Eurotúnel, por el que anualmente cruzan sin controles fronterizos 1,6 millones de camiones, 2,5 millones de coches y 21 millones de personas. ","Eurotunnel 매니저 인 Getlink에서도 매년 160 만 대의 트럭, 250 만 대의 자동차 및 2 천 1 백만 명의 사람들이 국경 통제없이 교차하고 있습니다. ",El País,,31,24,Good,3,Little,2
56,"Con destino a las factorías británicas de Toyota, por ejemplo, por ahí pasan a diario suspensiones alemanas, ruedas españolas, tubos de escape holandeses o cinturones de seguridad húngaros.","예를 들어, 도요타의 영국 공장으로 향하는 곳에서 독일의 서스펜션, 스페인 바퀴, 네덜란드 배기관 또는 헝가리 안전 벨트가 매일 통과합니다. ",El País,,28,19,Good,3,Everything,4
57,Muchos de esos camiones transportan entre 8.000 y 10.000 paquetes de objetos vendidos por comercio electrónico de entrega rápida. ,"이 트럭의 대부분은 빠른 배송 전자 상거래로 판매되는 8,000 ~ 10,000 개의 패키지를 운송합니다. ",El País,,19,14,Flawless,4,Everything,4
58,"Si el 29 de marzo no hay acuerdo, ¿cuál será el coste y el tiempo perdido en revisiones aduaneras y trámites burocráticos?",3 월 29 일 합의가 없으면 세관 검토 및 관료 절차에서 손실되는 비용과 시간은 어떻게됩니까?,El País,,22,15,Flawless,4,Most,3
59,"Ante la incapacidad de Londres de gestionar este proceso, el intento de organizar otro referéndum es solo la vía de eludir la elección entre lo malo y lo peor. ",런던이이 과정을 관리 할 능력이 없다는 점을 감안할 때 다른 국민 투표를 조직하려는 시도는 악과 최악의 선택을 피하는 유일한 방법 일뿐입니다. ,El País,,29,21,Good,3,Most,3
60,O de ganar tiempo prórroga tras prórroga. ,또는 연장 후 시간 연장을이기는 것. ,El País,,7,6,Disfluent,2,Most,3
61,"Es decir, de evitar peores noticias cuando ya se ha cumplido ese teorema adjudicado al poeta estadounidense Allen Ginsberg: ","즉, 미국 시인 앨런 긴스 버그 (Allen Ginsberg)에게 주어진 정리가 이미 성취되었을 때 더 나쁜 소식을 피하기 위해서입니다. ",El País,,19,18,Disfluent,2,Most,3
62,“No puedes ganar. ,"""당신은 이길 수 없습니다. ",El País,,3,4,Flawless,4,Everything,4
63,No puedes empatar. ,당신은 묶을 수 없습니다. ,El País,,3,4,Good,3,None,1
64,Y tampoco puedes abandonar el juego”. ,"그리고 게임을 떠날 수도 없다. "" ",El País,,6,6,Flawless,4,Everything,4
65,"O sea, juegas al Brexit.","즉, Brexit을 연기합니다.",El País,,5,3,Good,3,None,1
66,[HEADLINE] Florida ordena un recuento en las elecciones a gobernador y senador,플로리다 주 주지사 선거에 대한 재검 표 명령,El País,,12,8,Flawless,4,Most,3
67,"[SUB-HEADLINE] Una diferencia de menos del 0,5% de los votos vuelve a convertir al Estado en el epicentro de una polémica disputa legal tras unas elecciones",득표율의 0.5 %에도 미치지 못하는 점이 다시 선거 이후 논쟁의 여지가있는 법적 분쟁의 진원지가된다.,El País,,26,14,Good,3,Little,2
68,"Dieciocho años después, Florida vuelve a ser el epicentro de una polémica y reñida disputa de votos. ","18 년 후, 플로리다는 다시 논쟁의 여지가 많은 분쟁 투표 대회의 진원지가되었습니다. ",El País,,17,12,Disfluent,2,Most,3
69,"Las elecciones del pasado martes a senador y gobernador tendrán que pasar por un recuento automático de los votos debido a la estrecha diferencia de votos entre los candidatos demócratas y republicanos, según decidió la autoridad electoral del Estado este sábado. ",지난 토요일 상원 의원과 총재 선거는 이번 주 토요일의 선거 결정 권한에 따라 민주당과 공화당 후보들의 투표 차이가 좁아서 자동 투표기를 거쳐야한다. ,El País,,41,22,Good,3,Everything,4
70,"Los candidatos republicanos van en cabeza en el recuento, pero la diferencia es de menos del 0,5% de los votos. ","공화당 후보들은 그 수위에서 앞서 있지만, 그 차이는 득표 수의 0.5 % 미만이다. ",El País,,20,13,Good,3,Everything,4
71,"A diferencia de las presidenciales de 2000 que se decidieron judicialmente tras una situación similar en Florida, esta vez no hay problemas con el diseño de las papeletas. ",플로리다에서 유사한 사태가 발생하여 사 법적으로 결정된 2000 년 대선 때와는 달리 이번에는 투표 용지 설계에 문제가 없다. ,El País,,28,18,Flawless,4,Everything,4
72,Pero sí se han repetido las protestas ante las oficinas electorales y el desembarco de abogados en medio de muchos nervios.,그러나 선거 사무실 앞에서 여러 차례의 항의와 많은 신경들 가운데에서 변호사들의 상륙이 반복되어왔다.,El País,,21,13,Disfluent,2,Most,3
73,"La noche del martes, los candidatos republicanos a senador por Florida, Rick Scott, y a gobernador, Ron DeSantis, clamaron victoria aunque oficialmente no se les había proclamado ganador porque quedaban por contar dos condados, de mayoría demócrata. ",플로리다 주 상원의 원인 릭 스콧 (Rick Scott) 상원 의원과 론 데 산티 (Ron DeSantis) 주지사는 화요일 밤에 민주당 다수당을 두 군데 보유하고 있기 때문에 공식 승리자가 아니었지만 승리했다고 주장했다.,El País,,37,30,Disfluent,2,Little,2
74,Uno de esos distritos examinó este viernes si algunas papeletas que se habían considerado defectuosas en realidad eran correctas. ,결함이 있다고 여겨지는 투표 용지가 실제로 맞으면 이번 금요일에 해당 지구 중 한 곳을 조사했습니다. ,El País,,19,15,Incomprehensible,1,None,1
75,"Desde el martes, se ha ido achicando la diferencia de votos de los republicanos con sus rivales, el actual senador, el demócrata Bill Nelson, y el candidato a gobernador, Andrew Gillum. ","화요일 이후, 라이벌, 현재의 상원의 원인 민주당 원 빌 Nelson 및 주지사, Andrew Gillum 후보자와 가진 공화당 원의 투표 다름은 줄어들고있다.",El País,,31,21,Disfluent,2,Most,3
76,"El viernes, la ventaja de Scott era de solo el 0,18% de votos y la de DeSantis, del 0,44%.","금요일 Scott의 리드는 0.18 %, DeSantis는 0.44 %에 그쳤다.",El País,,19,9,Flawless,4,Everything,4
77,"Por ley, es obligatorio un recuento electrónico de papeletas si el sábado la diferencia de votos es de menos de 0,5 puntos. ",법으로 토요일 투표의 차이가 0.5 점 미만인 경우 전자 투표 수는 필수입니다. ,El País,,22,12,Good,3,Little,2
78,"Finalmente, el secretario del Estado (autoridad electoral) de Florida hizo oficial a mediodía del sábado que la diferencia de votos obliga a un recuento automático. ","마지막으로, 플로리다 주 (장관) 선거 당국은 토요일에 정오에 투표 결과의 차이가 자동 재계 표를 요구했다고 공식 발표했다. ",El País,,25,17,Disfluent,2,Everything,4
79,Los resultados deben estar listos el próximo jueves por la tarde. ,결과는 목요일 오후에 준비해야합니다. ,El País,,11,4,Good,3,Most,3
80,"Si después de ese recuento la diferencia sigue siendo de menos de 0,25 puntos, se hará otro recuento a mano.",이 카운트 후에 차이가 여전히 0.25 포인트보다 작 으면 다른 핸드 카운트가 만들어집니다.,El País,,20,13,Disfluent,2,Most,3
81,"Paralelamente, la elección ha sido judicializada a través de demandas de los dos aspirantes a senador. ","병행하여, 선거는 두 명의 야심 찬 상원 의원의 요구를 통해 사법 화되었습니다. ",El País,,16,12,Good,3,Everything,4
82,"Scott, que es el actual gobernador de Florida, y el presidente estadounidense, Donald Trump, han acusado sin pruebas a dos condados, de mayoría demócrata, de cometer fraude. ","현재 플로리다 주지사 인 스콧 (Scott)과 도널드 트럼프 (Donald Trump) 미국 대통령은 사기를 저지른 두 군, 대부분 민주당인데도 불구하고 기소했다. ",El País,,27,20,Incomprehensible,1,Little,2
83,"“Es una desgracia”, dijo Trump, quien en las presidenciales de 2016 atribuyó a irregularidades falsas su derrota, en el número total de votos, frente a la demócrata Hillary Clinton.","""그것은 불명예 스럽다.” 2016 년 대통령 선거에서 민주당 힐러리 클린턴에 반대하여 총 투표 수에서 거짓 부정에 대한 자신의 패배를 돌린 트럼프는 말했다.",El País,,29,22,Good,3,Most,3
84,Scott logró el viernes que un juez obligara a la autoridad electoral del condado de Broward a entregar toda la información sobre los votos emitidos. ,Scott은 지난 금요일에 판사가 Broward 카운티의 선거 권한으로 투표 득표에 대한 모든 정보를 넘겨 줄 것을 요구하면서 성공했습니다. ,El País,,25,18,Good,3,Little,2
85,"Nelson, su rival demócrata, le acusa de utilizar su potestad como gobernador para sugerir que puede pedir una investigación policial. ",그의 민주당 경쟁자 인 넬슨 (Nelson)은 주지사로 그의 권력을 사용하여 그가 경찰 수사를 요청할 수 있다고 제안했다고 비난했다. ,El País,,20,18,Disfluent,2,Most,3
86,"Las autoridades han dicho no tener pruebas de fraude alguno, aunque ese condado ha estado envuelto en polémicas en el pasado. ",당국은 과거에 논란에 휘말린 상태이지만 사기에 대한 증거가 없다고 말했습니다.,El País,,21,10,Good,3,Little,2
87,"En unas elecciones de 2016, eliminó un archivo de papeletas físicas pero mantuvo uno digitalizado.", 2016 년 선거에서 그는 실제 투표 용지 파일을 삭제했지만 하나는 디지털화했습니다.,El País,,15,12,Good,3,Little,2
