Segment ID,Source Segment,MT Target Segment,Segment Origin,Comment,Number of Words (Source Segment),Number of Words (Target Segment),Fluency,Fluency Score,Adequacy,Adequacy Score
88,Tanto Broward como Palm Beach fueron dos condados clave en la disputa tras las elecciones presidenciales de 2000 entre el republicano George W. Bush y el demócrata Al Gore. ,브로 워드와 팜 비치는 공화당 조지 부시 대통령과 민주당 앨 고어 대통령 간의 2000 년 대선 이후 분쟁의 핵심 카운티였다.,El País,,29,20,Flawless,4,Most,3
89,Florida acabó determinado quién se hacía con la presidencia. ,플로리다는 누가 대통령직을 맡았는지 결정했다. ,El País,,9,5,Good,3,Most,3
90,Bush ganó oficialmente el Estado después de que el Tribunal Supremo paralizara un recuento de votos tras detectarse posibles irregularidades. ,부시 대통령은 대법원이 부작용 가능성을 발견 한 후 득표 수를 마비시킨 이후 공식적으로 국가를 승리로 이끌었다. ,El País,,20,16,Disfluent,2,Most,3
91,"Entonces, ambos condados utilizaban papeletas en las que el votante hacía un agujero dentro de un círculo. ",그런 다음 두 카운티는 유권자가 원안에 구멍을 뚫은 투표 용지를 사용했습니다. ,El País,,17,11,Disfluent,2,Most,3
92,Esos formatos se cree que confundieron a muchos votantes y que podrían haberle costado la victoria a Gore.,이 포맷은 많은 유권자를 혼란스럽게 만들었으며 Gore에게 승리를 요구할 수 있습니다.,El País,,18,11,Disfluent,2,Most,3
93,También se encaminan a recuentos las elecciones a senador por Arizona y a gobernador de Georgia. ,애리조나 상원 의원과 조지아 주지사 선거 역시 중요하게 고려된다. ,El País,,16,9,Good,3,None,1
94,"Según los últimos datos, la demócrata Kyrsten Sinema mantiene una mínima ventaja frente a la republicana Martha McSally, que defiende el escaño conservador en Arizona. ",최신 데이터에 따르면 민주당의 키스 텐 시네마 (Keithsten Sinema)는 아리조나의 보수당 자리를 지키고있는 공화당의 마사 맥 샐리 (Martha McSally)에 대해 최소한의 우위를 유지하고있다. ,El País,,25,23,Good,3,Everything,4
95,Una victoria demócrata en Arizona sería especialmente significativa del calibre de la respuesta contra los republicanos. ,애리조나에서의 민주당 승리는 공화당에 대한 대응의 구상에서 특히 중요 할 것이다. ,El País,,16,11,Flawless,4,Everything,4
96,Ambas campañas llegaron este viernes a un acuerdo para esclarecer posibles irregularidades en el conteo de votos en zonas rurales.,두 캠페인은 이번 주 금요일 농촌 지역 투표 수의 불규칙성을 분명히하기 위해 합의했습니다.,El País,,20,13,Flawless,4,Everything,4
97,"Mientras en Georgia, la demócrata Stacey Abrams ha prometido tomar acciones legales para garantizar que todos los votos se cuenten correctamente. ",조지아 주에서 민주당의 스테이시 에이 브람스 (Stacey Abrams)는 모든 득표가 올바르게 집계 될 수 있도록 법적 조치를 취할 것을 약속했습니다. ,El País,,21,20,Flawless,4,Everything,4
98,"Esas elecciones fueron polémicas desde el primer momento porque el candidato republicano, Brian Kemp, como secretario de Estado de Georgia, es el responsable de gestionar comicios y los demócratas le acusaron de tomar medidas para restringir el voto de la población negra, que iba a ser clave para Abrams, que sería la primera gobernadora afroamericana de EE UU.",그 선거는 공화당 출신 후보 인 브라이언 켐프 (Brian Kemp)가 조지아 국무 장관으로 선거 운영에 책임이 있고 민주당이 흑인 인구의 투표를 제한하는 조치를 취했다고 비난했기 때문에 처음부터 논란이 많았다. 미국 최초의 아프리카 계 미국인 총재가 될 아브람에게 열쇠.,El País,,58,38,Incomprehensible,1,Little,2
99,"[HEADLINE] Las elecciones legislativas, un referéndum sobre Trump","입법 선거, 트럼프에 대한 국민 투표",ABC,,8,6,Flawless,4,Everything,4
100,[SUB-HEADLINE] Los estadounidenses eligen este martes a congresistas y autoridades estatales y locales. ,미국인들은 화요일에 국회의원과 주 및 지방 당국을 선택합니다. ,ABC,,13,8,Good,3,Everything,4
101,[SUB-HEADLINE] Pero los comicios son ante todo un juicio al «trumpismo« que determinará el futuro del presidente,"그러나 선거는 무엇보다도 대통령의 미래를 결정할 ""트럼프즘""에 대한 재판이다.",ABC,,17,9,Flawless,4,Everything,4
102,"Si esta semana alguien hubiera salido de un coma, podría pensar que despierta en el otoño de 2020 y que Donald Trump se juega su reelección. ",이번 주 누군가가 혼수 상태에서 벗어났다면 2020 년 가을에 그가 깨어나고 도널드 트럼프 (Donald Trump)가 그의 재선을 노리고 있다고 생각할 것입니다. ,ABC,,26,21,Good,3,Most,3
103,"El presidente de EE.UU. no está en las papeletas de las elecciones legislativas de este martes, pero sí lo está su figura y su futuro político. ",미국 대통령 화요일에 입법 선거에 투표하지는 않았지만 그의 인물과 그의 정치적 미래는 있습니다. ,ABC,,26,13,Disfluent,2,Most,3
104,"La cita con las urnas es un juicio a su presidencia -formidable para unos, infame para otros, polarizante sin duda-, un referéndum al «trumpismo». ","투표소와의 약속은 그의 대통령 대행의 재판이다. 다른 사람들에게는 악명이 높으며 의심의 여지없이 ""트럼프즘""에 대한 국민 투표가 실시된다.",ABC,,24,17,Disfluent,2,Most,3
105,"Sus resultados, además, determinarán su capacidad de maniobra en la segunda parte de su mandato y sentarán las bases de la reelección.",그들의 결과는 또한 위임장의 두 번째 부분에서 기동성을 결정하고 재선거를위한 기반을 마련 할 것입니다.,ABC,,22,14,Disfluent,2,Most,3
106,Todo explica que Trump apenas se haya quitado el traje electoral este otoño. ,이번 가을에 트럼프가 그의 선거를 막 제거했다고 모든 것이 설명됩니다.,ABC,,13,10,Disfluent,2,Little,2
107,Se ha subido el escenario electoral casi una vez cada dos días. ,선거 장면은 거의 2 일에 1 번 제기되었습니다. ,ABC,,12,8,Good,3,Little,2
108,"Desde el 6 de septiembre hasta el 6 de noviembre, el día de las elecciones, habrá protagonizado treinta mítines.",선거 당일 9 월 6 일부터 11 월 6 일까지 그는 30 번의 회의를 개최 할 예정이다.,ABC,,19,17,Flawless,4,Most,3
109,"«Yo no estoy en las papeletas, pero sí lo estoy, porque esto también es un referéndum sobre mí», dijo recientemente en un mitin en Misisipí. ","미시시피 주에서의 집회에서 그는 ""나는 투표 용지가 아니지만 나는 국민 투표이기도하다. ",ABC,,25,11,Disfluent,2,Little,2
110,"«Pretended que estoy en la votación», pidió a sus seguidores.",«내가 투표 한 척해라»그는 추종자들에게 물었다.,ABC,,10,6,Disfluent,2,Most,3
111,Es una exigencia fácil de cumplir. ,성취하기 쉬운 요구 사항입니다. ,ABC,,6,4,Flawless,4,Everything,4
112,Trump ha monopolizado el discurso político desde que se presentó a la presidencia de EE.UU. en junio de 2015. ,트럼프는 미국 대통령직에 출마 한 이후 정치 담론을 독점했다. 2015 년 6 월,ABC,,19,13,Disfluent,2,Little,2
113,"Una vez en la Casa Blanca, quienes confiaban -sobre todo, sus aliados republicanos- en que adoptaría un tono «presidencialista» se han topado con que Trump sigue en campaña de sí mismo. ","백악관에서 한 번 공화당 동맹국 인 공화당 동맹국들에 대해 ""대통령 주의적 입장""을 채택 할 것을 신뢰 한 사람들은 트럼프가 여전히 스스로 선거 운동을하고 있음을 발견했다.",ABC,,31,25,Disfluent,2,Most,3
114,"Su lenguaje de confrontación, el insulto habitual, las referencias de tono racista y sexista y las filtraciones sobre el caos en la Casa Blanca han copado los medios, que aman odiar al presidente.","그의 대립 언어, 통상적 인 모욕, 인종 차별주의 및 성 차별주의의 언급, 백악관의 혼돈에 대한 누출이 언론을 점령 해 대통령을 싫어한다.",ABC,,33,21,Flawless,4,Most,3
115,"Su figura, además, domina a ambos partidos. ",그의 인물은 또한 양당을 지배합니다. ,ABC,,7,5,Flawless,4,Everything,4
116,"Los apoyos de Trump -con una opinión muy favorable de sus bases- han puesto y quitado candidatos republicanos, que no tienen más remedio que proclamar su adhesión al jefe. ",트럼프의 지원은 공화당 후보들을 두었다. 공화당 후보들은 입후보자의지지를 선언하는 것 외에는 선택의 여지가 없다. ,ABC,,29,14,Disfluent,2,Little,2
117,El caso más claro es el de Ted Cruz: ,가장 분명한 사례는 테드 크루즈의 것입니다 : ,ABC,,9,7,Good,3,Everything,4
118,como candidato a la presidencia llamó «mentiroso patológico» y «cobarde llorón» a Trump en 2016 y el mes pasado se vio obligado a invitarlo a un mitin para conservar su puesto como senador en Texas. ,"대통령 후보로 그는 2016 년에 트럼프에게 ""병적 인 거짓말 쟁이""와 ""겁쟁이 족제비""라고 부르며 지난달 텍사스에서 상원 의원 자격을 유지하기 위해 그를 집회에 초대해야했다.",ABC,,35,23,Disfluent,2,Little,2
119,"Los demócratas, por su lado, compiten por demostrar quién es más «anti Trump».","반면에 민주당은 누가 더 ""트럼프 반대""인지를 증명하기 위해 경쟁합니다.",ABC,,13,9,Flawless,4,Everything,4
120,"Los nombres que aparecen en las papeletas son los de los candidatos al Congreso y cientos de autoridades estatales, desde gobernadores de estados hasta concejales de distrito. ",투표 용지에 표시되는 이름은 의회 후보자와 주 정부 당국에서 지방 공무원에 이르는 수백 개 주 당국의 이름입니다. ,ABC,,27,17,Good,3,Everything,4
121,"La Cámara de Representantes renueva por completo sus 435 miembros, mientras que el Senado elige a un tercio de sus cien legisladores.",하원은 435 명의 회원을 완전히 갱신하고 상원은 100 명의 입법 원 중 3 분의 1을 선출합니다.,ABC,,22,16,Good,3,Everything,4
122,"En los primeros dos años de presidencia de Trump, las dos cámaras del Congreso tenían mayoría republicana, lo que no ha sido suficiente para que Trump impulsara puntos centrales de su agenda, como el desmantelamiento de la reforma sanitaria de Barack Obama o la financiación del muro con México, la estrella de su campaña.","대통령 트럼프의 첫 2 년 동안, 의회의 두 집은 트럼프 충분하지 않은 공화당의 대부분은, 예를 들면 건강 개혁 버락 오바마의 해체 또는 벽 자금으로, 그의 의제의 중심 포인트를 재촉했다 그의 캠페인의 스타 인 멕시코와.",ABC,,54,34,Incomprehensible,1,Little,2
123,"Ahora, todo apunta a que el bloqueo legislativo será mucho mayor tras las legislativas. ",이제 입법 봉쇄에 대한 모든 내용은 입법 후에 훨씬 커질 것입니다. ,ABC,,14,11,Good,3,Most,3
124,"Las encuestas dicen que los demócratas recuperarán la Cámara de Representantes, y la duda es cuál será la ventaja final. ","여론 조사는 민주당 원들이 하원 의원을 되찾을 것이고, 의문점은 최종 우위가 될 것이라고 말했습니다. ",ABC,,20,14,Disfluent,2,Little,2
125,"En el Senado, el vuelco demócrata es mucho más difícil, porque buena parte de los escaños en juego están en territorio favorable para los republicanos. ",상원 의석에서 민주당 전복은 훨씬 어려워진다. 공화당 의원들 대부분이 공화당의 유리한 영역에 있기 때문이다. ,ABC,,25,14,Good,3,Little,2
126,"De hecho, hay posibilidades de que los republicanos refuercen su mayoría, que hoy es mínima (51 senadores conservadores, por 49 demócratas).","실제로, 공화당이 대다수를 강화할 가능성이있다. 공화당은 49 명의 민주당 원에 대해 보수당 의원 (상원 의원 51 명)이 최소한이다.",ABC,,21,18,Disfluent,2,Little,2
127,"Con un resultado así, los demócratas tendrán la posibilidad de torpedear la agenda política de Trump, pero se encontrarán con la patata caliente de qué hacer con uno de los temas que ha protagonizado su presidencia:",이러한 결과로 민주당은 트럼프의 정치적 의제를 어지럽 힐 수있는 가능성을 갖게 될 것입니다. 그러나 대통령 당선자를 이끌었던 문제들 중 무엇을 해야할지에 대한 고구마를 발견 할 것입니다.,ABC,,36,26,Incomprehensible,1,Little,2
128,"la investigación del supuesto complot de la campaña de Trump con Rusia, cuyos resultados no tardarán en llegar. ",주장 음모 캠페인 트럼프와의 조사를 그의 결과는 오래 가지 않을 것이다. ,ABC,,18,11,Incomprehensible,1,None,1
129,La Cámara de Representantes es la responsable de impulsar el ‘impeachment’ o juicio político del presidente. ,하원은 대통령 탄핵 또는 탄핵 촉진을 담당합니다. ,ABC,,16,7,Flawless,4,Most,3
130,"Las corrientes más izquierdistas del partido demócrata optarán por ese camino, lo que convertiría la segunda mitad del mandato de Trump en un circo político que estimularía al electorado republicano en defensa de su presidente.",민주당의 가장 좌파 전류는 대통령의 방어 공화당 유권자를 자극 할 정치적 서커스에서 트럼프의 위임 하반기을 만들 것이라고 경로를 선택합니다.,ABC,,35,19,Disfluent,2,Most,3
131,Las encuestas -como la historia se ha encargado de mostrar en los últimos años- pueden equivocarse. ,최근 몇 년 사이에 역사가 보여 주듯이 설문 조사는 잘못 될 수 있습니다. ,ABC,,16,13,Flawless,4,Everything,4
132,"Sobre todo tras un cierre de campaña virulento, agitado por la campaña del miedo desatada por Trump a raíz de la caravana de inmigrantes y por los episodios de violencia -los paquetes bomba a sus enemigos politicos y, sobre todo, la matanza en la sinagoga de Pittsburgh- que parte de la opinión pública relaciona con el mensaje agresivo del presidente. ","특히 악의적 인 선거 운동 종료 후, 이민자들의 캐러밴과 폭력 사건의 결과로 트럼프가 쏟아내는 두려움에 대한 캠페인에 동요 됨. - 정치적 원수 폭파, 특히 무엇보다도 시나고그의 학살 피츠버그 - 여론의 일부는 대통령의 공격적인 메시지와 관련이 있습니다.",ABC,,60,36,Incomprehensible,1,Little,2
133,Habrá que ver si todo ello está detrás de la alta participación que se anticipa para este martes.,이 모든 것이 이번 화요일에 예상되는 높은 투표율 뒤에 있는지 확인해야합니다.,ABC,,18,11,Flawless,4,Everything,4
134,"La popularidad del presidente mejora cuando deja los exabruptos de lado y consigue resultados, como la bajada de impuestas o la confirmación de Brett Kavanaugh como juez del Tribunal Supremo. ",부시 대통령의 인기는 그가 버드 대금을 제쳐두고 떠날 때 개선되고 세금 감면 또는 대법원 판사 브렛 카바 너 (Brett Kavanaugh)의 확인과 같은 결과를 얻는다. ,ABC,,30,24,Incomprehensible,1,None,1
135,"No es el camino elegido por Trump en el final de la campaña, que ha preferido repetir el guión de 2016.",캠페인이 끝나면 트럼프가 선택한 경로가 아니며 2016 년 스크립트를 반복하는 것이 좋습니다. ,ABC,,21,12,Disfluent,2,Little,2
136,Nadie le puede negar que entonces funcionó.,아무도 그 경로가 작동한다고 부인할 수 없습니다.,ABC,,7,7,Good,3,Little,2
137,[HEADLINE] Polémicas elecciones en las regiones separatistas del este de Ucrania,우크라이나 동부 분리주의 지역에서의 논란이 많은 선거,ABC,,11,7,Flawless,4,Everything,4
138,"[SUB-HEADLINE] La Unión Europea, Estados Unidos y Kiev califican los comicios de «ficticios e ilegítimos»","유럽 연합 (EU)과 미국, 키예프는 선거를 ""허구와 불법""이라고 부른다.",ABC,,15,9,Flawless,4,Everything,4
139,"Pese a las críticas y advertencias de la OSCE y la mayor parte de los países de Occidente, las autoridades rebeldes de las repúblicas separatistas del este de Ucrania, Donetsk y Lugansk, se disponen hoy a celebrar «comicios» para elegir a sus respectivos líderes y a los diputados de los llamados «Consejos Populares».","OSCE와 대부분의 서방 국가에 대한 비판과 경고에도 불구하고 우크라이나 동부 분리주의 반군 당국 인 도네츠크와 루간 스크는 오늘 각자의 지도자를 선출하기 위해 ""선거""를 개최 할 준비를하고있다. 소위 ""인민위원회""의 대리인.",ABC,,53,29,Disfluent,2,Most,3
140,La Organización para la Seguridad y la Cooperación en Europa (OSCE) ha sido la última en condenar una decisión que viola los acuerdos de paz de Minsk. ,유럽 ,ABC,,27,14,Disfluent,2,Most,3
141,"Estas elecciones han sido también criticadas e incluso calificadas de «ficticias e ilegítimas» por la Unión Europa, EEUU y las autoridades de Kiev. ","이 선거는 유럽 연합, 미국 및 우크라이나 당국에 의해 ""허구와 사생아""로 비판 받고 심지어 비난을 받아왔다. ",ABC,,23,16,Flawless,4,Most,3
142,"Según Enzo Moavero, presidente de turno de la OSCE y ministro de Exteriores italiano, los comicios en el este de Ucrania «van en contra de la letra y el espíritu de los acuerdos de Minsk».","OSCE 의장 겸 이탈리아 외무 장관 인 Enzo Moavero에 따르면 우크라이나 동부의 선거는 ""민스크 협약의 서신과 정신에 어긋난다""고 말했다.",ABC,,35,19,Good,3,Everything,4
143,"El presidente ucraniano, Piotr Poroshenko, cree que «Rusia debería haber influido para evitar la celebración de las elecciones y ha hecho lo contrario, demostrando así que no quiere propiciar una solución pacífica». ","우크라이나의 Piotr Poroshenko 대통령은 ""러시아는 선거를 막기 위해 영향을 미쳐야하고, 반대 입장을 취한 것으로 평화적 해결책을 홍보하고 싶지 않다는 것을 보여주고있다""고 믿는다.",ABC,,32,22,Flawless,4,Everything,4
144,"Según su opinión, «los resultados de esta convocatoria jamás serán reconocidos por la Comunidad Internacional (...) y provocarán la adopción de nuevas sanciones contra Rusia».","그의 견해로는 ""이 호의 결과는 국제 사회 (...)에 의해 인정되지 않으며 러시아에 대한 새로운 제재의 채택으로 이어질 것""이라고 말했다.",ABC,,25,19,Good,3,Most,3
145,Pero en Moscú piensan de otra manera. ,그러나 모스크바에서 그들은 다르게 생각합니다. ,ABC,,7,5,Flawless,4,Everything,4
146,"El portavoz del Kremlin, Dmitri Peskov, dijo el martes que las elecciones organizadas por los separatistas «no vulneran los acuerdos de paz». ",드미트리 페스 코프 (Dmitri Peskov) 러시아 대변인은 화요일 분리 주의자들에 의해 조직 된 총선은 평화 협정을 위반하지 않는다고 밝혔다. ,ABC,,22,19,Flawless,4,Everything,4
147,"A juicio de Peskov, «quienes demuestran poco deseo de que se aplique lo pactado en Minsk son las autoridades de Kiev».","Peskov에 따르면, ""민스크에서 협약을 적용하려는 욕구가 거의없는 사람들은 키예프 당국이다.""",ABC,,21,10,Flawless,4,Everything,4
148,"Lo firmado en Minsk, el 12 de febrero de 2015, contempla la devolución a Ucrania del control de la frontera con Rusia, en los tramos que corresponden a Donetsk y Lugansk, y la celebración en ambos territorios de elecciones realmente libres y democráticas con arreglo a la legislación ucraniana. ",2015 년 2 월 12 일 민스크에서 서명 한이 협정은 도네츠크와 루 간츠크에 해당하는 부분에서 러시아와의 국경 통제에 대한 우크라이나로의 회귀와 그에 따른 자유와 민주주의 선거의 두 영역 모두에서의 축하를 고찰한다. 우크라이나 입법.,ABC,,49,33,Incomprehensible,1,Little,2
149,"A cambio, Kiev debe conceder a los dos enclaves un sistema de autogobierno. ",그 대가로 키에프는 두 영토를 자치 체제로 만들어야합니다. ,ABC,,13,8,Flawless,4,Everything,4
150,Pero la desconfianza mutua mantiene el proceso en punto muerto mientras los enfrentamientos armados se suceden de forma esporádica.,그러나 상호 불신은 무력 충돌이 산발적으로 발생하는 동안 중립적 인 과정을 유지합니다.,ABC,,19,12,Good,3,Little,2
151,"El «presidente» en funciones de Donetsk y favorito para obtener la mayoría de los votos, Denís Pushilin, explicó a comienzo de mes que la república «necesita celebrar estas elecciones» para dotarse de líder y asamblea local. ","도네츠크의 대통령과 대다수의 투표를 얻으려는 데니스 푸 스틸 린 (Denis Pushilin)은 이달 초 공화당이 ""선거를 개최해야한다""고 설명하면서 지도자와 지방 의회가되었다.",ABC,,36,20,Incomprehensible,1,Little,2
152,"Prometió que transcurrirán «de forma transparente y cumpliendo todos los estándares internacionales», algo que no se cree nadie salvo Moscú. ",그는 투명한 방식으로 모든 국제 표준을 준수 할 것이라고 약속했다. 모스코바 만 믿는 사람은 없다. ,ABC,,20,15,Disfluent,2,Little,2
153,"El jefe de los Servicios de Seguridad de Ucrania (SBU), Vasili Gritsak, sostiene que las actas con los resultados de los comicios «ya están confeccionadas».",우크라이나 보안 서비스 총괄 책임자 인 바실리 그 리삭 (Vasili Gritsak)은 선거 결과에 대한 회의록은 이미 준비가되어 있다고 주장했다.,ABC,,25,19,Good,3,Most,3
154,"El pasado agosto, fue asesinado en un atentado todavía sin esclarecer el que había sido jefe de la autoproclamada República Popular de Donetsk (DNR) durante casi cuatro años, Alexánder Zajárchenko.","지난 8 월, 알렉산더 자 자르 첸코 (Alexander Zajárchenko)는 자신이 주장한 도네 치크 인민 공화국 (Donetsk People 's Republic, DNR)의 머리로 4 년 가까이 머물렀다는 점을 아직도 분명히 모르는 공격에서 암살 당했다.",ABC,,30,32,Incomprehensible,1,Little,2
155,Pushilin se puso entonces al frente de la DNR de forma interina.,Pushilin은 잠정적으로 DNR을 담당하게됩니다.,ABC,,12,4,Flawless,4,None,1
156,"En la vecina también autoproclamada República Popular de Lugansk (LNR) se celebran igualmente elecciones y el que parte con ventaja es el que desempeña interinamente el cargo de máximo dirigente, Leonid Pasechnik. ",이웃 국가들에서도 스스로 자칭 된 LUMR (Lugansk Republic of Lugansk) 선거도 개최되며 유리한 방향으로 이끌어가는 당은 일시적으로 최고 지도자 인 Leonid Pasechnik의 입장을 취하고있다.,ABC,,32,24,Disfluent,2,Most,3
157,"Sustituyó hace justo un año a Ígor Plotnitski, que fue desplazado por un oscuro golpe de mano.","그는 불과 1 년 전에 이고르 플롯 니츠키 (Igor Plotnitski)를 대신했고, 그는 어두운 손으로 타격을 입었습니다.",ABC,,17,16,Disfluent,2,Most,3
158,"Donetsk y Lugansk se levantaron en armas contra el Gobierno ucraniano en abril de 2014, un mes después de que Rusia se anexionara Crimea. ",도네츠크와 루간 스크는 러시아가 크림을 합병 한 지 한 달 후인 2014 년 4 월에 우크라이나 정부에 대항하여 무기를 들었다. ,ABC,,24,20,Flawless,4,Most,3
159,"Estalló entonces una guerra que Moscú atizó enviando armas, dinero y hombres en apoyo de los separatistas. ","모스크바는 분리 주의자들을 지원하기 위해 무기와 돈, 그리고 사람들을 보냄으로써 전쟁을 일으켰다. ",ABC,,17,12,Flawless,4,Everything,4
160,"Desde entonces, según la ONU, el conflicto ha acabado con la vida de 10.000 personas. ",그 이후 유엔에 따르면 분쟁으로 1 만 명이 사망했다. ,ABC,,15,9,Flawless,4,Everything,4
161,"Los acuerdos de Minsk, alcanzados bajo la mediación de Alemania y Francia, fueron un intento, por ahora fallido, de poner fin definitivamente al enfrentamiento armado entre el Ejército ucraniano y las milicias rebeldes.",독일과 프랑스의 중재 아래 도달 된 민스크 합의는 우크라이나 군과 반군 민병대 간의 무장 한 대립을 결정적으로 끝내려는 시도였다.,ABC,,33,19,Flawless,4,Everything,4
162,[HEADLINE] Misión 2019: evitar que los euroescépticos utilicen fondos europeos para boicotear la UE,미션 2019 : EU의 불매 운동에 유럽의 기금 사용을 금지,ABC,,14,10,Flawless,4,Most,3
163,"[SUB-HEADLINE] Pese a que las instituciones de la UE han reforzado sus mecanismos de control de cuentas, partidos euroescépticos y sus fundaciones han decidido explotar las oportunidades europeas en lugar de renunciar a todo lo relacionado con la Unión",EU기구가 통제 메커니즘을 강화했다는 사실에도 불구하고 Eurosceptic 당사자와 그들의 재단은 EU와 관련된 모든 것을 포기하는 대신 유럽의 기회를 이용하기로 결정했다.,ABC,,39,20,Flawless,4,Everything,4
164,"El último Eurobarómetro, publicado el miércoles 17 de octubre, muestra un aumento del europeísmo incluso en Reino Unido, donde los partidarios de seguir en la UE superaban a los del Brexit. ",10 월 17 일 수요일에 발표 된 마지막 유로 로바 미터 (Eurobarometer)는 영국에서도 유럽 연합의 지지자들이 Brexit의 그것들을 능가하는 유럽주의의 증가를 보여준다. ,ABC,,31,22,Disfluent,2,Everything,4
165,"Sin embargo, cuando se acaban de cumplir 25 años de la entrada en vigor del Tratado de Maastricht que diseñó la actual Unión y su moneda única, el euro, la UE se enfrenta a uno de los mayores desafíos de su historia en las próximas Elecciones Europeas: ",그러나 현재 연합에 의해 설계된 마스 트리 히트 조약 발효 25 주년과 유럽 단일 통화 인 유럽이 방금 만났을 때 EU는 다가오는 유럽 선거에서 역사상 가장 큰 도전 중 하나에 직면 해있다. :,ABC,,47,33,Incomprehensible,1,Little,2
166,"por primera vez se espera que los tradicionales bloques centroizquierda y centroderecha europeístas caigan por debajo del 50% y algunas encuestadoras estiman que en torno a un tercio de los escaños serán ocupados por partidos nacional-populistas, que tratan de torpedear desde dentro los valores europeístas y que paradójicamente se han aprovechado de fondos de la Unión para impulsar sus finanzas.",처음으로 전통적인 중도 좌파와 중도 좌파의 유럽 연합 블록은 50 % 이하로 떨어질 것으로 예상되며 여론 조사원들은 유럽과 유럽의 가치관을 어지럽히도록 노력하는 국민 강대국당이 3 분의 1의 좌석을 차지할 것으로 추정하고있다. 역설적이게도 그들은 유니언 기금을 이용하여 재정을 강화했습니다.,ABC,,60,38,Good,3,Everything,4
167,"A lo largo de la última década, las instituciones de la UE han reforzado sus anticuerpos para enfrentarse a prácticas abusivas con dinero europeo. ",지난 10 년 동안 유럽 연합 기관들은 유럽의 돈으로 학대적인 관행을 다루기 위해 항체를 강화했습니다. ,ABC,,24,15,Disfluent,2,Most,3
168,"Aun así, los partidos euroescépticos y las fundaciones políticas han decidido explotar las oportunidades europeas en lugar de boicotear todo lo relacionado con la Unión. ",그럼에도 불구하고 Eurosceptic 정당과 정치 기반은 EU와 관련된 모든 것을 보이콧하는 대신 유럽의 기회를 이용하기로 결정했습니다.,ABC,,25,16,Flawless,4,Everything,4
169,"El portavoz del Parlamento Europeo, Jaume Duch, también trata de lidiar con el auge de los partidos populistas y euroescépticos: ",유럽 의회 (Jaume Duch)의 유럽 대륙 의회의 대변인은 또한 대중 주의자와 유로 지성인들의 부상에 대처하기 위해 노력한다.,ABC,,20,17,Flawless,4,Most,3
170,"«No se trata de dar a ciertos países una cantidad determinada de dinero, sino saber en qué políticas invertir. ","""특정 국가에 특정 금액을 제공하는 것이 아니라 투자 할 정책을 알고있는 것입니다.",ABC,,19,12,Flawless,4,Most,3
171,"El Eurobarómetro dice que los temas más importantes son el empleo, el crecimiento económico, la gestión de la migración, el cambio climático, medio ambiente y protección social», afirma a ABC. ","유로 바로 메타는 가장 중요한 문제는 고용, 경제 성장, 이주 관리, 기후 변화, 환경 및 사회 보호라고 말했습니다. ",ABC,,30,18,Flawless,4,Most,3
172,"El problema, según el portavoz de la UE, es que para satisfacer estas necesidades los Estados miembros deberían asumir una contribución mayor, pero los países no están dispuestos a gastar más dinero en el presupuesto común una vez que el Brexit se consuma y aleje a la Unión de un contribuyente fundamental como Reino Unido. ",EU 대변인에 따르면이 문제는 회원국들이 더 큰 기여를해야한다는 요구를 충족시키지 못하지만 Brexit이 완성되고 유럽 연합에서 벗어나면 국가들은 공통 예산에 더 많은 돈을 쓰려고하지 않는다. 영국과 같은 근본적인 납세자 연합.,ABC,,55,29,Incomprehensible,1,Little,2
173,"«Pero el populismo no puede ser la solución a estos problemas», advierte.","""그러나 포퓰리즘은 이러한 문제에 대한 해결책이 될 수 없다""고 그는 경고했다.",ABC,,12,11,Flawless,4,Everything,4
