Segment Length,Post-edit Time(ms),Edit Effort
14,145880.0,20
23,664170.0,46
47,417440.0,75
15,155380.0,40
16,45190.0,38
37,755480.0,59
32,887570.0,66
22,172070.0,36
22,194240.0,41
44,491480.0,72
34,246500.0,50
44,596770.0,62
23,213400.0,50
33,658300.0,67
26,75750.0,52
40,275640.0,81
8,91260.0,65
75,844010.0,50
39,494430.0,55
16,116910.0,43
24,86780.0,27
36,384320.0,67
15,352230.0,23
8,20520.0,20
36,226850.0,22
30,104540.0,82
12,10860.0,0
32,225540.0,63
26,216980.0,60
21,204360.0,27
19,110460.0,37
32,148830.0,65
27,121160.0,51
29,192660.0,56
11,68230.0,32
52,183030.0,64
17,41570.0,34
23,92910.0,50
5,13010.0,33
7,14050.0,80
13,29490.0,38
9,11330.0,44
14,34540.0,0
7,59470.0,40
31,175560.0,51
29,87920.0,67
28,135760.0,54
24,65200.0,54
9,24050.0,38
41,508940.0,75
25,34990.0,13
59,395160.0,62
42,143210.0,51
49,294120.0,58
31,85750.0,19
28,250980.0,75
19,31140.0,0
22,120210.0,63
29,106590.0,15
7,41700.0,51
19,149770.0,17
3,14680.0,18
3,18160.0,33
6,14080.0,50
5,16460.0,30
12,66720.0,64
26,75030.0,15
17,141280.0,55
41,259690.0,67
20,51610.0,52
28,33110.0,1
21,207490.0,46
37,327860.0,81
19,143580.0,72
31,239810.0,39
19,189520.0,39
22,76310.0,38
25,172240.0,64
11,56200.0,51
20,67640.0,75
16,167250.0,58
27,164240.0,59
29,208900.0,12
25,257290.0,40
20,126410.0,14
21,86250.0,35
15,23120.0,0
29,135130.0,72
9,20020.0,24
20,102810.0,57
17,54660.0,8
18,117410.0,54
16,84670.0,7
25,85200.0,41
16,84840.0,4
20,197740.0,70
21,56080.0,7
58,229660.0,60
8,7620.0,0
13,87010.0,40
17,20750.0,0
26,202670.0,34
26,209890.0,21
24,158610.0,67
22,129660.0,26
13,256400.0,60
12,23300.0,42
19,87990.0,57
25,83940.0,55
10,112660.0,86
6,26870.0,14
19,50710.0,65
31,286730.0,54
33,500450.0,51
7,8600.0,4
29,511560.0,63
9,4030.0,0
35,221900.0,58
13,8030.0,0
27,160860.0,60
22,62060.0,8
54,290230.0,73
14,48570.0,0
20,84530.0,64
25,213220.0,37
21,174730.0,76
36,69030.0,21
18,146540.0,46
16,67830.0,22
35,327370.0,79
16,15520.0,0
60,539680.0,62
18,38880.0,2
30,324740.0,58
21,116460.0,73
7,90970.0,62
11,28260.0,10
15,105690.0,58
53,134100.0,34
27,223920.0,20
23,91200.0,62
35,261040.0,33
32,226770.0,47
25,181140.0,55
7,10820.0,23
22,104970.0,68
21,76640.0,14
49,527970.0,50
13,67250.0,25
19,229110.0,64
36,508810.0,62
20,158200.0,38
25,211240.0,9
30,374190.0,77
12,43970.0,31
32,274910.0,75
17,180990.0,61
24,154320.0,63
17,142060.0,18
15,103580.0,72
33,98490.0,37
14,60380.0,60
39,116520.0,15
31,219230.0,61
47,116690.0,30
60,678700.0,61
24,140130.0,29
25,116080.0,36
20,268450.0,72
19,94430.0,20
30,127780.0,25
55,442580.0,68
12,73770.0,13
70,792620.0,71
23,250650.0,31
30,235550.0,50
30,193200.0,30
13,75430.0,73
15,109330.0,59
10,39980.0,67
31,341360.0,44
23,78090.0,33
8,22440.0,0
11,54000.0,44
19,134020.0,23
21,110400.0,57
20,89530.0,28
28,145810.0,60
31,335360.0,18
82,915190.0,58
33,271610.0,79
20,133790.0,49
27,156600.0,29
29,312420.0,36
13,43180.0,13
70,498810.0,71
11,32450.0,13
32,72750.0,46
16,123980.0,31
42,281800.0,39
9,16440.0,0
19,41770.0,37
33,155770.0,33
10,102090.0,39
14,89820.0,38
15,56730.0,50
4,7680.0,0
56,290840.0,71
40,128070.0,13
26,193090.0,48
30,122670.0,36
43,186130.0,21
31,78500.0,8
33,125480.0,46
59,358510.0,61
23,80650.0,38
39,223010.0,20
44,359000.0,78
41,116790.0,31
8,40740.0,46
10,11230.0,0
11,17120.0,53
23,19030.0,0
31,72150.0,38
23,19770.0,8
27,93350.0,45
48,132050.0,42
13,70970.0,43
23,70440.0,55
72,397500.0,55
19,41350.0,29
9,15880.0,61
42,137320.0,71
32,201020.0,60
10,39430.0,43
13,30110.0,48
47,152130.0,76
27,164770.0,66
18,21110.0,0
13,96950.0,40
20,71260.0,56
13,113660.0,66
22,58760.0,0
41,511870.0,58
44,282390.0,60
19,92730.0,78
41,258870.0,34
5,110880.0,46
26,44190.0,16
34,261630.0,72
54,154060.0,71
41,148710.0,42
19,49320.0,34